table,rows,cols,csv,tex
N10_lambda_sweep,45,8,tables/N10_lambda_sweep.csv,tables_latex/N10_lambda_sweep.tex
N11_seed_variability,9,5,tables/N11_seed_variability.csv,tables_latex/N11_seed_variability.tex
N12_post_qat_performance,27,8,tables/N12_post_qat_performance.csv,tables_latex/N12_post_qat_performance.tex
N13_faithfulness,12,10,tables/N13_faithfulness.csv,tables_latex/N13_faithfulness.tex
N13b_randomization_sanity,9,4,tables/N13b_randomization_sanity.csv,tables_latex/N13b_randomization_sanity.tex
N14a_bootstrap_ci,36,8,tables/N14a_bootstrap_ci.csv,tables_latex/N14a_bootstrap_ci.tex
N14b_paired_tests_holm,6,10,tables/N14b_paired_tests_holm.csv,tables_latex/N14b_paired_tests_holm.tex
N14c_power_analysis,6,8,tables/N14c_power_analysis.csv,tables_latex/N14c_power_analysis.tex
N14d_qat_paired_tests,9,10,tables/N14d_qat_paired_tests.csv,tables_latex/N14d_qat_paired_tests.tex
N15_fakequant_config,6,6,tables/N15_fakequant_config.csv,tables_latex/N15_fakequant_config.tex
N16_cam_layer_sweep,18,7,tables/N16_cam_layer_sweep.csv,tables_latex/N16_cam_layer_sweep.tex
N18_imbalance_vs_drift,3,6,tables/N18_imbalance_vs_drift.csv,tables_latex/N18_imbalance_vs_drift.tex
N19_dataset_composition,10,4,tables/N19_dataset_composition.csv,tables_latex/N19_dataset_composition.tex
N1_efficiency,3,16,tables/N1_efficiency.csv,tables_latex/N1_efficiency.tex
N2_cam_target_layers,3,8,tables/N2_cam_target_layers.csv,tables_latex/N2_cam_target_layers.tex
N3_calibration_ablation,15,8,tables/N3_calibration_ablation.csv,tables_latex/N3_calibration_ablation.tex
N4_equivalence_cka,9,21,tables/N4_equivalence_cka.csv,tables_latex/N4_equivalence_cka.tex
N5_k_sweep,144,8,tables/N5_k_sweep.csv,tables_latex/N5_k_sweep.tex
N5b_ranking_stability_over_k,24,5,tables/N5b_ranking_stability_over_k.csv,tables_latex/N5b_ranking_stability_over_k.tex
N6_random_baselines,6,5,tables/N6_random_baselines.csv,tables_latex/N6_random_baselines.tex
N7_collapse_rates,24,8,tables/N7_collapse_rates.csv,tables_latex/N7_collapse_rates.tex
N8_layerwise_collapse,48,12,tables/N8_layerwise_collapse.csv,tables_latex/N8_layerwise_collapse.tex
N9_mixed_precision,3,8,tables/N9_mixed_precision.csv,tables_latex/N9_mixed_precision.tex
RAW_drift_all,38880,19,tables/RAW_drift_all.csv,tables_latex/RAW_drift_all.tex
RAW_qat_drift,120960,21,tables/RAW_qat_drift.csv,tables_latex/RAW_qat_drift.tex
S2_per_class_drift,30,7,tables/S2_per_class_drift.csv,tables_latex/S2_per_class_drift.tex
T3_fp32_performance,3,5,tables/T3_fp32_performance.csv,tables_latex/T3_fp32_performance.tex
T3b_training_history,36,6,tables/T3b_training_history.csv,tables_latex/T3b_training_history.tex
T5_prediction_agreement,6,5,tables/T5_prediction_agreement.csv,tables_latex/T5_prediction_agreement.tex
T6_drift_by_model_method,24,11,tables/T6_drift_by_model_method.csv,tables_latex/T6_drift_by_model_method.tex
T7_drift_by_method,8,10,tables/T7_drift_by_method.csv,tables_latex/T7_drift_by_method.tex
T8_qat_mitigation,9,14,tables/T8_qat_mitigation.csv,tables_latex/T8_qat_mitigation.tex
N17_siim_ground_truth,174,9,tables/N17_siim_ground_truth.csv,tables_latex/N17_siim_ground_truth.tex
N17b_siim_summary,2,9,tables/N17b_siim_summary.csv,tables_latex/N17b_siim_summary.tex
