arch,stage,lam,seed,acc,macro_f1,bal_acc,agreement
tf_efficientnetv2_s,FP32,,42,0.9793,0.9796,0.9767,1.0
tf_efficientnetv2_s,PTQ-INT8,,42,0.9755,0.9752,0.9717,0.9914
tf_efficientnetv2_s,QAT-INT8,0.0,42,0.9731,0.9736,0.9746,0.9803
tf_efficientnetv2_s,QAT-INT8,0.1,42,0.9755,0.9756,0.9763,0.9808
tf_efficientnetv2_s,QAT-INT8,0.5,42,0.9745,0.9741,0.9759,0.9803
tf_efficientnetv2_s,QAT-INT8,0.5,1337,0.9798,0.9793,0.977,0.9856
tf_efficientnetv2_s,QAT-INT8,0.5,2024,0.9721,0.9728,0.9742,0.9817
tf_efficientnetv2_s,QAT-INT8,1.0,42,0.9755,0.9765,0.976,0.9813
tf_efficientnetv2_s,QAT-INT8,2.0,42,0.9741,0.9752,0.9752,0.9808
resnet50,FP32,,42,0.9745,0.9709,0.9688,1.0
resnet50,PTQ-INT8,,42,0.95,0.9464,0.9442,0.9654
resnet50,QAT-INT8,0.0,42,0.9693,0.9653,0.9641,0.9832
resnet50,QAT-INT8,0.1,42,0.9645,0.9589,0.9588,0.9789
resnet50,QAT-INT8,0.5,42,0.9625,0.9583,0.9577,0.975
resnet50,QAT-INT8,0.5,1337,0.9664,0.9616,0.9607,0.9803
resnet50,QAT-INT8,0.5,2024,0.963,0.9572,0.9592,0.9721
resnet50,QAT-INT8,1.0,42,0.9669,0.9627,0.964,0.976
resnet50,QAT-INT8,2.0,42,0.964,0.9586,0.9588,0.9803
mobilenetv3_large_100,FP32,,42,0.975,0.9732,0.9696,1.0
mobilenetv3_large_100,PTQ-INT8,,42,0.9577,0.9535,0.9469,0.9707
mobilenetv3_large_100,QAT-INT8,0.0,42,0.9707,0.9711,0.9714,0.9765
mobilenetv3_large_100,QAT-INT8,0.1,42,0.9741,0.9734,0.9726,0.9808
mobilenetv3_large_100,QAT-INT8,0.5,42,0.9712,0.9723,0.9719,0.9784
mobilenetv3_large_100,QAT-INT8,0.5,1337,0.9784,0.9793,0.9781,0.9832
mobilenetv3_large_100,QAT-INT8,0.5,2024,0.9726,0.9728,0.9732,0.9813
mobilenetv3_large_100,QAT-INT8,1.0,42,0.9731,0.9737,0.9735,0.9803
mobilenetv3_large_100,QAT-INT8,2.0,42,0.9726,0.974,0.9737,0.9808
