arch,xai,metric,n,mean,ci_lo,ci_hi,sig_vs_zero
mobilenetv3_large_100,gradcam,topk_iou,320,0.4665,0.4435,0.4881,True
mobilenetv3_large_100,gradcam,topk_dice,320,0.6091,0.5871,0.6296,True
mobilenetv3_large_100,gradcam,spearman,320,0.6932,0.6779,0.7085,True
mobilenetv3_large_100,gradcampp,topk_iou,320,0.6981,0.6832,0.7136,True
mobilenetv3_large_100,gradcampp,topk_dice,320,0.8136,0.8022,0.8252,True
mobilenetv3_large_100,gradcampp,spearman,320,0.8874,0.8798,0.8946,True
mobilenetv3_large_100,ig,topk_iou,320,0.3659,0.3621,0.3697,True
mobilenetv3_large_100,ig,topk_dice,320,0.5348,0.5307,0.5389,True
mobilenetv3_large_100,ig,spearman,320,0.587,0.581,0.593,True
mobilenetv3_large_100,lime,topk_iou,120,0.4455,0.3971,0.4957,True
mobilenetv3_large_100,lime,topk_dice,120,0.5666,0.5181,0.6151,True
mobilenetv3_large_100,lime,spearman,120,0.6387,0.5973,0.6777,True
resnet50,gradcam,topk_iou,320,0.7829,0.7709,0.7949,True
resnet50,gradcam,topk_dice,320,0.8734,0.8646,0.8819,True
resnet50,gradcam,spearman,320,0.9315,0.9243,0.9382,True
resnet50,gradcampp,topk_iou,320,0.79,0.7794,0.8003,True
resnet50,gradcampp,topk_dice,320,0.8794,0.8722,0.8862,True
resnet50,gradcampp,spearman,320,0.9554,0.9532,0.9575,True
resnet50,ig,topk_iou,320,0.4204,0.4138,0.4271,True
resnet50,ig,topk_dice,320,0.5892,0.5823,0.596,True
resnet50,ig,spearman,320,0.6757,0.6679,0.6834,True
resnet50,lime,topk_iou,120,0.6871,0.6496,0.7249,True
resnet50,lime,topk_dice,120,0.7935,0.7643,0.8217,True
resnet50,lime,spearman,120,0.7886,0.7683,0.8087,True
tf_efficientnetv2_s,gradcam,topk_iou,320,0.736,0.7229,0.7489,True
tf_efficientnetv2_s,gradcam,topk_dice,320,0.8426,0.8336,0.8513,True
tf_efficientnetv2_s,gradcam,spearman,320,0.94,0.9362,0.9436,True
tf_efficientnetv2_s,gradcampp,topk_iou,320,0.667,0.6556,0.6785,True
tf_efficientnetv2_s,gradcampp,topk_dice,320,0.7953,0.7868,0.8038,True
tf_efficientnetv2_s,gradcampp,spearman,320,0.8657,0.8573,0.874,True
tf_efficientnetv2_s,ig,topk_iou,320,0.5504,0.546,0.5549,True
tf_efficientnetv2_s,ig,topk_dice,320,0.7091,0.7054,0.7129,True
tf_efficientnetv2_s,ig,spearman,320,0.7966,0.7927,0.8003,True
tf_efficientnetv2_s,lime,topk_iou,120,0.7415,0.7051,0.7793,True
tf_efficientnetv2_s,lime,topk_dice,120,0.8343,0.8071,0.8614,True
tf_efficientnetv2_s,lime,spearman,120,0.9132,0.9059,0.9207,True
