arch,layer,shape,spatial_ok,iou,rho,collapse_rate
tf_efficientnetv2_s,blocks,"(1, 256, 7, 7)",True,0.7744,0.9737,0.0
tf_efficientnetv2_s,conv_head,"(1, 1280, 7, 7)",True,0.7744,0.9737,0.0
tf_efficientnetv2_s,bn2.drop,"(1, 1280, 7, 7)",True,0.7629,0.954,0.0
tf_efficientnetv2_s,bn2.act,"(1, 1280, 7, 7)",True,0.7517,0.9446,0.0
tf_efficientnetv2_s,bn2,"(1, 1280, 7, 7)",True,0.7517,0.9446,0.0
tf_efficientnetv2_s,global_pool.pool,"(1, 1280, 1, 1)",False,0.566,0.2606,0.4083
resnet50,layer4.2.conv3,"(1, 2048, 7, 7)",True,0.7404,0.8934,0.0
resnet50,layer4.2.bn3,"(1, 2048, 7, 7)",True,0.8011,0.9435,0.0
resnet50,layer4.2.act3,"(1, 2048, 7, 7)",True,0.7908,0.935,0.0
resnet50,layer4.2,"(1, 2048, 7, 7)",True,0.7908,0.935,0.0
resnet50,layer4,"(1, 2048, 7, 7)",True,0.7908,0.935,0.0
resnet50,global_pool.pool,"(1, 2048, 1, 1)",False,0.5402,0.3249,0.225
mobilenetv3_large_100,blocks.6.0.bn1,"(1, 960, 7, 7)",True,0.4737,0.7018,0.0
mobilenetv3_large_100,blocks.6.0.aa,"(1, 960, 7, 7)",True,0.4737,0.7018,0.0
mobilenetv3_large_100,blocks.6.0,"(1, 960, 7, 7)",True,0.4737,0.7018,0.0
mobilenetv3_large_100,blocks.6,"(1, 960, 7, 7)",True,0.4737,0.7018,0.0
mobilenetv3_large_100,blocks,"(1, 960, 7, 7)",True,0.4737,0.7018,0.0
mobilenetv3_large_100,act2,"(1, 1280, 1, 1)",False,0.5784,0.2219,0.6167
