image,model,gt_frac,gt_iou,gt_dice,chance_iou,pointing_game,mass_in_gt,collapsed
.10005.1517875220.958951,fp32,0.0064,0.0,0.0,0.0032,False,0.0085,False
.10005.1517875220.958951,int8-qdq,0.0064,0.0,0.0,0.0032,False,0.0022,False
.10011.1517875220.977487,fp32,0.0075,0.0605,0.1141,0.0038,False,0.0257,False
.10011.1517875220.977487,int8-qdq,0.0075,0.0,0.0,0.0038,False,0.0112,False
.10012.1517875220.965942,fp32,0.0223,0.0,0.0,0.0113,False,0.0225,False
.10012.1517875220.965942,int8-qdq,0.0223,0.0,0.0,0.0113,False,0.0157,False
.10016.1517875220.992175,fp32,0.0459,0.0,0.0,0.0235,False,0.0332,False
.10016.1517875220.992175,int8-qdq,0.0459,0.0145,0.0286,0.0235,False,0.0553,False
9.10025.1517875221.19235,fp32,0.0064,0.0405,0.0779,0.0032,False,0.0187,False
9.10025.1517875221.19235,int8-qdq,0.0064,0.0,0.0,0.0032,False,0.0191,False
9.10026.1517875221.22915,fp32,0.0151,0.0,0.0,0.0076,False,0.0026,False
9.10026.1517875221.22915,int8-qdq,0.0151,0.0,0.0,0.0076,False,0.0096,False
9.10034.1517875221.47394,fp32,0.0086,0.0,0.0,0.0043,False,0.0139,False
9.10034.1517875221.47394,int8-qdq,0.0086,0.0,0.0,0.0043,False,0.0029,False
.10037.1517875221.677730,fp32,0.0047,0.0,0.0,0.0024,False,0.0015,False
.10037.1517875221.677730,int8-qdq,0.0047,0.0,0.0,0.0024,False,0.0023,False
.10046.1517875221.743999,fp32,0.0064,0.0,0.0,0.0032,False,0.0105,False
.10046.1517875221.743999,int8-qdq,0.0064,0.0,0.0,0.0032,False,0.0109,False
.10047.1517875221.722653,fp32,0.0134,0.0,0.0,0.0067,False,0.0025,False
.10047.1517875221.722653,int8-qdq,0.0134,0.0,0.0,0.0067,False,0.0067,False
.10050.1517875221.763035,fp32,0.0434,0.0,0.0,0.0222,False,0.0266,False
.10050.1517875221.763035,int8-qdq,0.0434,0.0,0.0,0.0222,False,0.0339,False
.10057.1517875221.791666,fp32,0.0078,0.0,0.0,0.0039,False,0.0011,False
.10057.1517875221.791666,int8-qdq,0.0078,0.0,0.0,0.0039,False,0.0034,False
