sim,arch,xai,k,iou,dice,rho,n
legacy,mobilenetv3_large_100,gradcam,0.05,0.3012,0.3939,0.4564,320
legacy,mobilenetv3_large_100,gradcam,0.1,0.3301,0.4433,0.4564,320
legacy,mobilenetv3_large_100,gradcam,0.15,0.3434,0.4726,0.4564,320
legacy,mobilenetv3_large_100,gradcam,0.2,0.3533,0.4948,0.4564,320
legacy,mobilenetv3_large_100,gradcam,0.25,0.3665,0.5175,0.4564,320
legacy,mobilenetv3_large_100,gradcam,0.3,0.3857,0.5429,0.4564,320
legacy,mobilenetv3_large_100,gradcampp,0.05,0.5167,0.6526,0.7699,320
legacy,mobilenetv3_large_100,gradcampp,0.1,0.5585,0.6938,0.7699,320
legacy,mobilenetv3_large_100,gradcampp,0.15,0.5769,0.7144,0.7699,320
legacy,mobilenetv3_large_100,gradcampp,0.2,0.5826,0.7238,0.7699,320
legacy,mobilenetv3_large_100,gradcampp,0.25,0.5892,0.7318,0.7699,320
legacy,mobilenetv3_large_100,gradcampp,0.3,0.5991,0.7415,0.7699,320
legacy,mobilenetv3_large_100,ig,0.05,0.2109,0.3453,0.4796,320
legacy,mobilenetv3_large_100,ig,0.1,0.2465,0.394,0.4796,320
legacy,mobilenetv3_large_100,ig,0.15,0.2799,0.4364,0.4796,320
legacy,mobilenetv3_large_100,ig,0.2,0.3124,0.4753,0.4796,320
legacy,mobilenetv3_large_100,ig,0.25,0.3439,0.5111,0.4796,320
legacy,mobilenetv3_large_100,ig,0.3,0.3753,0.5451,0.4796,320
legacy,mobilenetv3_large_100,lime,0.05,0.3991,0.4542,0.4327,120
legacy,mobilenetv3_large_100,lime,0.1,0.354,0.4481,0.4327,120
legacy,mobilenetv3_large_100,lime,0.15,0.3402,0.4653,0.4327,120
legacy,mobilenetv3_large_100,lime,0.2,0.3234,0.4624,0.4327,120
legacy,mobilenetv3_large_100,lime,0.25,0.3423,0.489,0.4327,120
legacy,mobilenetv3_large_100,lime,0.3,0.372,0.5232,0.4327,120
legacy,resnet50,gradcam,0.05,0.313,0.4271,0.6266,320
legacy,resnet50,gradcam,0.1,0.4148,0.5441,0.6266,320
legacy,resnet50,gradcam,0.15,0.4709,0.6028,0.6266,320
legacy,resnet50,gradcam,0.2,0.5084,0.6402,0.6266,320
legacy,resnet50,gradcam,0.25,0.5339,0.6656,0.6266,320
legacy,resnet50,gradcam,0.3,0.5527,0.6845,0.6266,320
legacy,resnet50,gradcampp,0.05,0.3788,0.5196,0.864,320
legacy,resnet50,gradcampp,0.1,0.5099,0.6577,0.864,320
legacy,resnet50,gradcampp,0.15,0.5782,0.7207,0.864,320
legacy,resnet50,gradcampp,0.2,0.6223,0.7588,0.864,320
legacy,resnet50,gradcampp,0.25,0.6545,0.7849,0.864,320
legacy,resnet50,gradcampp,0.3,0.6776,0.8031,0.864,320
legacy,resnet50,ig,0.05,0.26,0.4068,0.5703,320
legacy,resnet50,ig,0.1,0.2977,0.4552,0.5703,320
legacy,resnet50,ig,0.15,0.3307,0.4945,0.5703,320
legacy,resnet50,ig,0.2,0.3624,0.5299,0.5703,320
legacy,resnet50,ig,0.25,0.393,0.5626,0.5703,320
legacy,resnet50,ig,0.3,0.4229,0.593,0.5703,320
legacy,resnet50,lime,0.05,0.4963,0.5621,0.4589,120
legacy,resnet50,lime,0.1,0.4472,0.5555,0.4589,120
legacy,resnet50,lime,0.15,0.4322,0.5623,0.4589,120
legacy,resnet50,lime,0.2,0.4133,0.5534,0.4589,120
legacy,resnet50,lime,0.25,0.4172,0.5644,0.4589,120
legacy,resnet50,lime,0.3,0.4306,0.5813,0.4589,120
legacy,tf_efficientnetv2_s,gradcam,0.05,0.5825,0.7173,0.8851,320
legacy,tf_efficientnetv2_s,gradcam,0.1,0.6292,0.7603,0.8851,320
legacy,tf_efficientnetv2_s,gradcam,0.15,0.6617,0.7873,0.8851,320
legacy,tf_efficientnetv2_s,gradcam,0.2,0.6813,0.8037,0.8851,320
legacy,tf_efficientnetv2_s,gradcam,0.25,0.6967,0.8163,0.8851,320
legacy,tf_efficientnetv2_s,gradcam,0.3,0.7132,0.8289,0.8851,320
legacy,tf_efficientnetv2_s,gradcampp,0.05,0.4947,0.6423,0.7724,320
