sim,dimension,k,order,kendall_tau_vs_kmin
legacy,arch,0.05,tf_efficientnetv2_s|resnet50|mobilenetv3_large_100,1.0
legacy,arch,0.1,tf_efficientnetv2_s|resnet50|mobilenetv3_large_100,1.0
legacy,arch,0.15,tf_efficientnetv2_s|resnet50|mobilenetv3_large_100,1.0
legacy,arch,0.2,tf_efficientnetv2_s|resnet50|mobilenetv3_large_100,1.0
legacy,arch,0.25,tf_efficientnetv2_s|resnet50|mobilenetv3_large_100,1.0
legacy,arch,0.3,tf_efficientnetv2_s|resnet50|mobilenetv3_large_100,1.0
legacy,xai,0.05,lime|gradcampp|gradcam|ig,1.0
legacy,xai,0.1,gradcampp|lime|gradcam|ig,0.667
legacy,xai,0.15,gradcampp|gradcam|lime|ig,0.333
legacy,xai,0.2,gradcampp|gradcam|lime|ig,0.333
legacy,xai,0.25,gradcampp|gradcam|lime|ig,0.333
legacy,xai,0.3,gradcampp|gradcam|lime|ig,0.333
qdq,arch,0.05,tf_efficientnetv2_s|resnet50|mobilenetv3_large_100,1.0
qdq,arch,0.1,tf_efficientnetv2_s|resnet50|mobilenetv3_large_100,1.0
qdq,arch,0.15,tf_efficientnetv2_s|resnet50|mobilenetv3_large_100,1.0
qdq,arch,0.2,tf_efficientnetv2_s|resnet50|mobilenetv3_large_100,1.0
qdq,arch,0.25,resnet50|tf_efficientnetv2_s|mobilenetv3_large_100,0.333
qdq,arch,0.3,tf_efficientnetv2_s|resnet50|mobilenetv3_large_100,1.0
qdq,xai,0.05,lime|gradcampp|gradcam|ig,1.0
qdq,xai,0.1,gradcampp|lime|gradcam|ig,0.667
qdq,xai,0.15,gradcampp|gradcam|lime|ig,0.333
qdq,xai,0.2,gradcampp|gradcam|lime|ig,0.333
qdq,xai,0.25,gradcampp|gradcam|lime|ig,0.333
qdq,xai,0.3,gradcampp|gradcam|lime|ig,0.333
