sim,arch,xai,n,collapse_rate,fp32_collapsed,int8_collapsed,mean_levels_int8
legacy,mobilenetv3_large_100,gradcam,320,0.0,0.0,0.0,31806.4031
legacy,mobilenetv3_large_100,gradcampp,320,0.0,0.0,0.0,34815.6938
legacy,mobilenetv3_large_100,ig,320,0.0,0.0,0.0,50136.9312
legacy,mobilenetv3_large_100,lime,120,0.0,0.0,0.0,41.975
legacy,resnet50,gradcam,320,0.0,0.0,0.0,28460.7719
legacy,resnet50,gradcampp,320,0.0,0.0,0.0,37616.6188
legacy,resnet50,ig,320,0.0,0.0,0.0,50141.2781
legacy,resnet50,lime,120,0.0,0.0,0.0,41.975
legacy,tf_efficientnetv2_s,gradcam,320,0.0,0.0,0.0,35720.9812
legacy,tf_efficientnetv2_s,gradcampp,320,0.0,0.0,0.0,16611.7344
legacy,tf_efficientnetv2_s,ig,320,0.0,0.0,0.0,50137.3375
legacy,tf_efficientnetv2_s,lime,120,0.0,0.0,0.0,41.975
qdq,mobilenetv3_large_100,gradcam,320,0.0,0.0,0.0,30865.1062
qdq,mobilenetv3_large_100,gradcampp,320,0.0,0.0,0.0,36292.9594
qdq,mobilenetv3_large_100,ig,320,0.0,0.0,0.0,50136.7656
qdq,mobilenetv3_large_100,lime,120,0.0,0.0,0.0,41.975
qdq,resnet50,gradcam,320,0.0,0.0,0.0,34635.1531
qdq,resnet50,gradcampp,320,0.0,0.0,0.0,37618.2938
qdq,resnet50,ig,320,0.0,0.0,0.0,50141.675
qdq,resnet50,lime,120,0.0,0.0,0.0,41.975
qdq,tf_efficientnetv2_s,gradcam,320,0.0,0.0,0.0,35948.1156
qdq,tf_efficientnetv2_s,gradcampp,320,0.0,0.0,0.0,17134.3469
qdq,tf_efficientnetv2_s,ig,320,0.0,0.0,0.0,50138.0125
qdq,tf_efficientnetv2_s,lime,120,0.0,0.0,0.0,41.975
