arch,sim,layer,is_cam_layer,shape,var_fp32,var_int8,var_retained,levels_fp32,levels_int8,const_ch_fp32,const_ch_int8
tf_efficientnetv2_s,legacy,blocks.5.14.drop_path,False,"(1, 256, 7, 7)",5.797638,6.357221,1.0965,49.0,18.2,0.0,0.0
tf_efficientnetv2_s,legacy,blocks.5.14,False,"(1, 256, 7, 7)",20.737462,22.229404,1.0719,49.0,49.0,0.0,0.0
tf_efficientnetv2_s,legacy,blocks.5,False,"(1, 256, 7, 7)",20.737462,22.229404,1.0719,49.0,49.0,0.0,0.0
tf_efficientnetv2_s,legacy,blocks,False,"(1, 256, 7, 7)",20.737462,22.229404,1.0719,49.0,49.0,0.0,0.0
tf_efficientnetv2_s,legacy,conv_head,False,"(1, 1280, 7, 7)",156.917032,165.269096,1.0532,49.0,22.1,0.0,0.0
tf_efficientnetv2_s,legacy,bn2.drop,False,"(1, 1280, 7, 7)",15.630035,16.455007,1.0528,49.0,22.1,0.0,0.0
tf_efficientnetv2_s,legacy,bn2.act,False,"(1, 1280, 7, 7)",0.142634,0.134856,0.9455,49.0,5.4,0.0,0.0005
tf_efficientnetv2_s,legacy,bn2,True,"(1, 1280, 7, 7)",0.142634,0.134856,0.9455,49.0,5.4,0.0,0.0005
tf_efficientnetv2_s,qdq,blocks.5.14.drop_path,False,"(1, 256, 7, 7)",5.797638,6.147173,1.0603,49.0,49.0,0.0,0.0
tf_efficientnetv2_s,qdq,blocks.5.14,False,"(1, 256, 7, 7)",20.737462,21.893573,1.0557,49.0,49.0,0.0,0.0
tf_efficientnetv2_s,qdq,blocks.5,False,"(1, 256, 7, 7)",20.737462,21.893573,1.0557,49.0,49.0,0.0,0.0
tf_efficientnetv2_s,qdq,blocks,False,"(1, 256, 7, 7)",20.737462,21.893573,1.0557,49.0,49.0,0.0,0.0
tf_efficientnetv2_s,qdq,conv_head,False,"(1, 1280, 7, 7)",156.917032,162.856194,1.0378,49.0,49.0,0.0,0.0
tf_efficientnetv2_s,qdq,bn2.drop,False,"(1, 1280, 7, 7)",15.630035,16.224423,1.038,49.0,49.0,0.0,0.0
tf_efficientnetv2_s,qdq,bn2.act,False,"(1, 1280, 7, 7)",0.142634,0.137017,0.9606,49.0,6.5,0.0,0.0005
tf_efficientnetv2_s,qdq,bn2,True,"(1, 1280, 7, 7)",0.142634,0.137017,0.9606,49.0,6.5,0.0,0.0005
resnet50,legacy,layer4.2.drop_block,False,"(1, 512, 7, 7)",3.699247,1.619032,0.4377,49.0,8.7,0.0,0.0
resnet50,legacy,layer4.2.act2,False,"(1, 512, 7, 7)",0.159098,0.116997,0.7354,11.0,2.2,0.266,0.3279
resnet50,legacy,layer4.2.aa,False,"(1, 512, 7, 7)",0.159098,0.116997,0.7354,11.0,2.2,0.266,0.3279
resnet50,legacy,layer4.2.conv3,False,"(1, 2048, 7, 7)",4.381947,3.261813,0.7444,49.0,18.2,0.0,0.0
resnet50,legacy,layer4.2.bn3,False,"(1, 2048, 7, 7)",1.2031,0.909843,0.7562,49.0,11.5,0.0,0.0
resnet50,legacy,layer4.2.act3,False,"(1, 2048, 7, 7)",0.190096,0.239009,1.2573,5.4,3.5,0.3665,0.1831
resnet50,legacy,layer4.2,False,"(1, 2048, 7, 7)",0.190096,0.239009,1.2573,5.4,3.5,0.3665,0.1831
resnet50,legacy,layer4,True,"(1, 2048, 7, 7)",0.190096,0.239009,1.2573,5.4,3.5,0.3665,0.1831
resnet50,qdq,layer4.2.drop_block,False,"(1, 512, 7, 7)",3.699247,2.891012,0.7815,49.0,49.0,0.0,0.0
resnet50,qdq,layer4.2.act2,False,"(1, 512, 7, 7)",0.159098,0.13895,0.8734,11.0,4.8,0.266,0.2632
resnet50,qdq,layer4.2.aa,False,"(1, 512, 7, 7)",0.159098,0.13895,0.8734,11.0,4.8,0.266,0.2632
resnet50,qdq,layer4.2.conv3,False,"(1, 2048, 7, 7)",4.381947,3.776722,0.8619,49.0,49.0,0.0,0.0
resnet50,qdq,layer4.2.bn3,False,"(1, 2048, 7, 7)",1.2031,1.043511,0.8674,49.0,49.0,0.0,0.0
resnet50,qdq,layer4.2.act3,False,"(1, 2048, 7, 7)",0.190096,0.230344,1.2117,5.4,3.3,0.3665,0.3336
resnet50,qdq,layer4.2,False,"(1, 2048, 7, 7)",0.190096,0.230344,1.2117,5.4,3.3,0.3665,0.3336
resnet50,qdq,layer4,True,"(1, 2048, 7, 7)",0.190096,0.230344,1.2117,5.4,3.3,0.3665,0.3336
mobilenetv3_large_100,legacy,blocks.6.0.conv,False,"(1, 960, 7, 7)",73.719546,62.733913,0.851,49.0,19.5,0.0,0.0
mobilenetv3_large_100,legacy,blocks.6.0.bn1.drop,False,"(1, 960, 7, 7)",15.183232,12.920889,0.851,49.0,19.5,0.0,0.0
mobilenetv3_large_100,legacy,blocks.6.0.bn1.act,False,"(1, 960, 7, 7)",0.875745,0.668781,0.7637,20.5,5.5,0.0073,0.0164
mobilenetv3_large_100,legacy,blocks.6.0.bn1,False,"(1, 960, 7, 7)",0.875745,0.668781,0.7637,20.5,5.5,0.0073,0.0164
mobilenetv3_large_100,legacy,blocks.6.0.aa,False,"(1, 960, 7, 7)",0.875745,0.668781,0.7637,20.5,5.5,0.0073,0.0164
mobilenetv3_large_100,legacy,blocks.6.0,False,"(1, 960, 7, 7)",0.875745,0.668781,0.7637,20.5,5.5,0.0073,0.0164
mobilenetv3_large_100,legacy,blocks.6,False,"(1, 960, 7, 7)",0.875745,0.668781,0.7637,20.5,5.5,0.0073,0.0164
mobilenetv3_large_100,legacy,blocks,True,"(1, 960, 7, 7)",0.875745,0.668781,0.7637,20.5,5.5,0.0073,0.0164
mobilenetv3_large_100,qdq,blocks.6.0.conv,False,"(1, 960, 7, 7)",73.719546,72.013615,0.9769,49.0,49.0,0.0,0.0
mobilenetv3_large_100,qdq,blocks.6.0.bn1.drop,False,"(1, 960, 7, 7)",15.183232,14.839257,0.9773,49.0,49.0,0.0,0.0
mobilenetv3_large_100,qdq,blocks.6.0.bn1.act,False,"(1, 960, 7, 7)",0.875745,0.836392,0.9551,20.5,6.9,0.0073,0.0093
mobilenetv3_large_100,qdq,blocks.6.0.bn1,False,"(1, 960, 7, 7)",0.875745,0.836392,0.9551,20.5,6.9,0.0073,0.0093
mobilenetv3_large_100,qdq,blocks.6.0.aa,False,"(1, 960, 7, 7)",0.875745,0.836392,0.9551,20.5,6.9,0.0073,0.0093
mobilenetv3_large_100,qdq,blocks.6.0,False,"(1, 960, 7, 7)",0.875745,0.836392,0.9551,20.5,6.9,0.0073,0.0093
mobilenetv3_large_100,qdq,blocks.6,False,"(1, 960, 7, 7)",0.875745,0.836392,0.9551,20.5,6.9,0.0073,0.0093
mobilenetv3_large_100,qdq,blocks,True,"(1, 960, 7, 7)",0.875745,0.836392,0.9551,20.5,6.9,0.0073,0.0093
