arch,y,n,iou,rho,n_train,class
mobilenetv3_large_100,0,108,0.5507,0.7327,479,bacterial_leaf_blight
mobilenetv3_large_100,1,108,0.4868,0.717,380,bacterial_leaf_streak
mobilenetv3_large_100,2,108,0.5853,0.7402,337,bacterial_panicle_blight
mobilenetv3_large_100,3,108,0.4926,0.7113,1738,blast
mobilenetv3_large_100,4,108,0.4476,0.7055,965,brown_spot
mobilenetv3_large_100,5,108,0.6332,0.767,1442,dead_heart
mobilenetv3_large_100,6,108,0.448,0.6784,620,downy_mildew
mobilenetv3_large_100,7,108,0.4864,0.6844,1594,hispa
mobilenetv3_large_100,8,108,0.3856,0.6576,1764,normal
mobilenetv3_large_100,9,108,0.5137,0.7381,1088,tungro
resnet50,0,108,0.6687,0.8429,479,bacterial_leaf_blight
resnet50,1,108,0.655,0.8539,380,bacterial_leaf_streak
resnet50,2,108,0.7244,0.8795,337,bacterial_panicle_blight
resnet50,3,108,0.6644,0.8507,1738,blast
resnet50,4,108,0.6735,0.8605,965,brown_spot
resnet50,5,108,0.7372,0.8653,1442,dead_heart
resnet50,6,108,0.6606,0.8388,620,downy_mildew
resnet50,7,108,0.6685,0.8297,1594,hispa
resnet50,8,108,0.5603,0.7907,1764,normal
resnet50,9,108,0.6567,0.8569,1088,tungro
tf_efficientnetv2_s,0,108,0.6427,0.8645,479,bacterial_leaf_blight
tf_efficientnetv2_s,1,108,0.6791,0.8714,380,bacterial_leaf_streak
tf_efficientnetv2_s,2,108,0.6744,0.8782,337,bacterial_panicle_blight
tf_efficientnetv2_s,3,108,0.6553,0.8637,1738,blast
tf_efficientnetv2_s,4,108,0.664,0.8826,965,brown_spot
tf_efficientnetv2_s,5,108,0.7434,0.8855,1442,dead_heart
tf_efficientnetv2_s,6,108,0.6508,0.879,620,downy_mildew
tf_efficientnetv2_s,7,108,0.6521,0.8672,1594,hispa
tf_efficientnetv2_s,8,108,0.6069,0.8683,1764,normal
tf_efficientnetv2_s,9,108,0.6434,0.8649,1088,tungro
