epoch,train_loss,acc,macro_f1,bal_acc,arch
1,3.288877823417251,0.7271853986551393,0.6776880417041202,0.6611667709196841,tf_efficientnetv2_s
2,0.9677406030087856,0.8938520653218059,0.8806717547670877,0.8752572517473782,tf_efficientnetv2_s
3,0.7498545592754811,0.9418828049951968,0.9321086224803468,0.9235748807527252,tf_efficientnetv2_s
4,0.6435201473279042,0.9649375600384246,0.9647400754788972,0.962129151359746,tf_efficientnetv2_s
5,0.5923151897310137,0.9731027857829012,0.9720379405429108,0.971012832878821,tf_efficientnetv2_s
6,0.5658434093105901,0.9731027857829012,0.9740085590599304,0.9695276360430076,tf_efficientnetv2_s
7,0.5497851493337133,0.979346781940442,0.979625234972487,0.97668902099487,tf_efficientnetv2_s
8,0.5391316203168921,0.9769452449567724,0.975138495846584,0.9713974339564873,tf_efficientnetv2_s
9,0.53174119008554,0.979346781940442,0.979126775872956,0.9766022076361848,tf_efficientnetv2_s
10,0.5280305519619504,0.97790585975024,0.9766853044628724,0.973168247278772,tf_efficientnetv2_s
11,0.523621706747794,0.9774255523535064,0.9773920084392124,0.9741139791999794,tf_efficientnetv2_s
12,0.5231015341346328,0.9774255523535064,0.9765237342731204,0.97305535254329,tf_efficientnetv2_s
1,2.1676298418990125,0.3914505283381364,0.1983963058211769,0.2470326823971169,resnet50
2,1.4167937800476142,0.718059558117195,0.6327493235220581,0.6447220460582138,resnet50
3,0.929632041432836,0.8539865513928915,0.818613023626907,0.8064101894671666,resnet50
4,0.7633886530807427,0.8876080691642652,0.8670402853463595,0.8706404223124882,resnet50
5,0.6622947466266048,0.9279538904899136,0.911471717247804,0.9055967980477656,resnet50
6,0.616593677417652,0.94716618635927,0.9386569119881966,0.9437730279647452,resnet50
7,0.5801265910724261,0.9630163304514888,0.9556696412079508,0.9507939946804324,resnet50
8,0.5626487729141304,0.9649375600384246,0.9600758458806816,0.9560374016036396,resnet50
9,0.5469995133082072,0.9707012487992316,0.9669886079845254,0.9629412703015,resnet50
10,0.537662747271426,0.9716618635926992,0.966580581256382,0.9621696361839376,resnet50
11,0.5328380826786832,0.9745437079731027,0.9709468814226792,0.9687687422366856,resnet50
12,0.5302987497132103,0.9740634005763688,0.9701786677167832,0.968187118200105,resnet50
1,1.9959155030293507,0.691162343900096,0.632158578908821,0.6227144600816937,mobilenetv3_large_100
2,1.0485778127704657,0.7646493756003843,0.7673307443065894,0.7742394559928064,mobilenetv3_large_100
3,0.8102822693403777,0.8967339097022095,0.885852504042816,0.8762694287837449,mobilenetv3_large_100
4,0.6811188186611141,0.9596541786743517,0.9537080795164694,0.9482321845403712,mobilenetv3_large_100
5,0.6104547830530115,0.957252641690682,0.9522588594783824,0.9477383096599784,mobilenetv3_large_100
6,0.5791726586410592,0.9639769452449568,0.9600698146461256,0.9555238587770968,mobilenetv3_large_100
7,0.5594108279546102,0.9697406340057636,0.9679688156244484,0.9628413464963504,mobilenetv3_large_100
8,0.5464150154268419,0.9697406340057636,0.9645876325437313,0.9579415096104053,mobilenetv3_large_100
9,0.5365521546097489,0.9750240153698368,0.9731640845599168,0.9695617159404564,mobilenetv3_large_100
10,0.531705565925117,0.9716618635926992,0.9694629833031048,0.9662657420807084,mobilenetv3_large_100
11,0.5276592893428631,0.973583093179635,0.9722818277315836,0.969936243169238,mobilenetv3_large_100
12,0.5267274247633444,0.9731027857829012,0.9717522501964584,0.9688553022915992,mobilenetv3_large_100
