sim,arch,xai,n,iou,iou_sd,dice,dice_sd,rho,rho_sd,collapse_rate
legacy,mobilenetv3_large_100,gradcam,320,0.3434,0.2199,0.4726,0.2399,0.4564,0.2192,0.0
legacy,mobilenetv3_large_100,gradcampp,320,0.5769,0.1793,0.7144,0.1533,0.7699,0.1134,0.0
legacy,mobilenetv3_large_100,ig,320,0.2799,0.0331,0.4364,0.04,0.4796,0.0626,0.0
legacy,mobilenetv3_large_100,lime,120,0.3402,0.2308,0.4653,0.2524,0.4327,0.2086,0.0
legacy,resnet50,gradcam,320,0.4709,0.2294,0.6028,0.2448,0.6266,0.3129,0.0
legacy,resnet50,gradcampp,320,0.5782,0.1467,0.7207,0.1308,0.864,0.0661,0.0
legacy,resnet50,ig,320,0.3307,0.0551,0.4945,0.0629,0.5703,0.0749,0.0
legacy,resnet50,lime,120,0.4322,0.246,0.5623,0.2469,0.4589,0.2048,0.0
legacy,tf_efficientnetv2_s,gradcam,320,0.6617,0.1415,0.7873,0.108,0.8851,0.0699,0.0
legacy,tf_efficientnetv2_s,gradcampp,320,0.5762,0.1267,0.7228,0.1049,0.7724,0.1113,0.0
legacy,tf_efficientnetv2_s,ig,320,0.4454,0.0412,0.6152,0.0395,0.7025,0.0487,0.0
legacy,tf_efficientnetv2_s,lime,120,0.6694,0.2229,0.7801,0.1668,0.8509,0.068,0.0
qdq,mobilenetv3_large_100,gradcam,320,0.4665,0.2058,0.6091,0.1965,0.6932,0.1388,0.0
qdq,mobilenetv3_large_100,gradcampp,320,0.6981,0.1399,0.8136,0.1053,0.8874,0.0672,0.0
qdq,mobilenetv3_large_100,ig,320,0.3659,0.0351,0.5348,0.0375,0.587,0.0549,0.0
qdq,mobilenetv3_large_100,lime,120,0.4455,0.2749,0.5666,0.2699,0.6387,0.2249,0.0
qdq,resnet50,gradcam,320,0.7829,0.1104,0.8734,0.079,0.9315,0.0651,0.0
qdq,resnet50,gradcampp,320,0.79,0.0944,0.8794,0.0634,0.9554,0.0204,0.0
qdq,resnet50,ig,320,0.4204,0.0618,0.5892,0.0633,0.6757,0.0725,0.0
qdq,resnet50,lime,120,0.6871,0.2166,0.7935,0.167,0.7886,0.1153,0.0
qdq,tf_efficientnetv2_s,gradcam,320,0.736,0.117,0.8426,0.0801,0.94,0.0334,0.0
qdq,tf_efficientnetv2_s,gradcampp,320,0.667,0.1057,0.7953,0.0785,0.8657,0.0765,0.0
qdq,tf_efficientnetv2_s,ig,320,0.5504,0.0408,0.7091,0.0342,0.7966,0.0343,0.0
qdq,tf_efficientnetv2_s,lime,120,0.7415,0.205,0.8343,0.1503,0.9132,0.0415,0.0
